"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ahmedjr_16: 11 Best #BigData Courses for #DataScientists 

https://t.co/yClYWc2MfC  

#AI #ArtificialIntelligence #DataScience #DataSci…",FALSE,0,NA,2017-11-21 21:38:22,FALSE,NA,"933087215407710208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","reinforcelabtwt",20,TRUE,FALSE,NA,NA
"RT @ahmedjr_16: 11 Best #BigData Courses for #DataScientists 

https://t.co/yClYWc2MfC  

#AI #ArtificialIntelligence #DataScience #DataSci…",FALSE,0,NA,2017-11-21 21:40:01,FALSE,NA,"933087631692374017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ananna16",20,TRUE,FALSE,NA,NA
"RT @AtishiMarlena: Maybe @Gupta_vijender should focus his energy on improving dilapidated MCD schools in Delhi, rather than misrepresenting…",FALSE,0,NA,2017-11-28 17:31:30,FALSE,NA,"935561805451051008",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","akash_gaddamwar",265,TRUE,FALSE,NA,NA
"RT @AtishiMarlena: Maybe @Gupta_vijender should focus his energy on improving dilapidated MCD schools in Delhi, rather than misrepresenting…",FALSE,0,NA,2017-11-28 17:24:16,FALSE,NA,"935559985148313600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnilKMathur",265,TRUE,FALSE,NA,NA
"RT @ahmedjr_16: 11 Best #BigData Courses for #DataScientists 

https://t.co/yClYWc2MfC  

#AI #ArtificialIntelligence #DataScience #DataSci…",FALSE,0,NA,2017-11-21 21:41:29,FALSE,NA,"933087998060777472",NA,"<a href=""https://Vohnnysfreelancewriting.webs.com"" rel=""nofollow"">GoFundMe1</a>","FullofThoughts4",20,TRUE,FALSE,NA,NA
"RT @DiLeed: @jillberry102 @tele_education I did feel that Mr Howe could have helpfully signposted wider sources and research to substantiat…",FALSE,0,NA,2017-11-28 18:35:49,FALSE,NA,"935577990741848067",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DiLeed",1,TRUE,FALSE,NA,NA
"RT @briankrebs: Updated my story on the data potentially exposed by FAFSA applicants to include a response from the Dept. of Education. The…",FALSE,0,NA,2017-11-28 21:35:47,FALSE,NA,"935623279653486592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PaulITGuy",23,TRUE,FALSE,NA,NA
"RT @ahmedjr_16: Review of #MachineLearning A-Z™ Hands-On #Python &amp; #R In #DataScience 

https://t.co/qKEopzwJtU 

#DataScientist #DataScien…",FALSE,0,NA,2017-11-21 21:43:39,FALSE,NA,"933088542590242816",NA,"<a href=""https://twitter.com/BFSbY"" rel=""nofollow"">KOICA retweeter</a>","BFSbY",47,TRUE,FALSE,NA,NA
"RT @AtishiMarlena: Maybe @Gupta_vijender should focus his energy on improving dilapidated MCD schools in Delhi, rather than misrepresenting…",FALSE,0,NA,2017-11-28 21:30:49,FALSE,NA,"935622030719721472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ecineko",265,TRUE,FALSE,NA,NA
"RT @ahmedjr_16: 11 Best #BigData Courses for #DataScientists 

https://t.co/yClYWc2MfC  

#AI #ArtificialIntelligence #DataScience #DataSci…",FALSE,0,NA,2017-11-21 21:50:03,FALSE,NA,"933090156176740354",NA,"<a href=""http://rekod.org"" rel=""nofollow"">Rekod</a>","iamOlAOYE",20,TRUE,FALSE,NA,NA
"RT @annaeveryday: Excited to be talking data ethics next week at @theNASEM roundtable on data science education. Even better, the event wil…",FALSE,0,NA,2017-11-28 23:47:46,FALSE,NA,"935656495055859712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","johnruss28",5,TRUE,FALSE,NA,NA
"Tomorrow! New data on education, labour, journey to work, language of work, mobility and migration in Canada.… https://t.co/ExTP24az09",FALSE,11,NA,2017-11-28 17:45:56,TRUE,NA,"935565434971213825",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","StatCan_eng",7,FALSE,FALSE,NA,NA
"RT @ahmedjr_16: 11 Best #BigData Courses for #DataScientists 

https://t.co/yClYWc2MfC  

#AI #ArtificialIntelligence #DataScience #DataSci…",FALSE,0,NA,2017-11-21 21:54:17,FALSE,NA,"933091218103222272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wpacademypro",20,TRUE,FALSE,NA,NA
"RT @AZGovEducation: Check this out ➡️ New Thriving Together data center at @myvsuw provides community member w/ key education demographics…",FALSE,0,NA,2017-11-21 22:03:17,FALSE,NA,"933093486756225025",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dougducey",3,TRUE,FALSE,NA,NA
"RT @miotei: This says so much. Youth not in employment, education or training (NEET): #ITA 26%; #SPA 22%; #FRA 17%; #POR 16%; #USA 14%; #UK…",FALSE,0,NA,2017-11-21 22:05:39,FALSE,NA,"933094081395171328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zaiferor",41,TRUE,FALSE,NA,NA
"RT @briankrebs: Updated my story on the data potentially exposed by FAFSA applicants to include a response from the Dept. of Education. The…",FALSE,0,NA,2017-11-28 19:52:19,FALSE,NA,"935597239250059265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarcHilliker",23,TRUE,FALSE,NA,NA
"Emotions are paramount — even in a data-driven, journey-mapping, analytics-obsessed world. https://t.co/xLzVhgOyOx… https://t.co/CMsHn5iLye",FALSE,0,NA,2017-11-21 21:45:04,TRUE,NA,"933088902469926913",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","ArkeSystems",0,FALSE,FALSE,NA,NA
"RT @opendataedu: https://t.co/gSFs6QzzOR",FALSE,0,NA,2017-11-21 22:06:26,FALSE,NA,"933094279139942408",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","mjoehlerich",2,TRUE,FALSE,NA,NA
"S&amp;P Global Market Intelligence’s Financial Institutions Data Now Available on Wharton Research Data Services… https://t.co/FljwpZf7k2",FALSE,0,NA,2017-11-28 20:47:06,TRUE,NA,"935611029588811776",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","EON_Education",0,FALSE,FALSE,NA,NA
"RT @CyberPolicy_com: After a #data #breach, #cyber #insurance offers an olive branch: https://t.co/sKQUICEBq4 https://t.co/fS7TL4P902",FALSE,0,NA,2017-11-28 18:06:04,FALSE,NA,"935570503468589056",NA,"<a href=""https://twitter.com/InfoS3cBot"" rel=""nofollow"">ExploitedBot</a>","Exploited_bot",1,TRUE,FALSE,NA,NA
"RT @AtishiMarlena: Maybe @Gupta_vijender should focus his energy on improving dilapidated MCD schools in Delhi, rather than misrepresenting…",FALSE,0,NA,2017-11-28 17:53:16,FALSE,NA,"935567281811156992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Arun2981",265,TRUE,FALSE,NA,NA
"RT @DrChrisHubbuch: The State Board of Education should make evidence-based decisions about public education in Missouri. Data supports the…",FALSE,0,NA,2017-11-21 22:11:06,FALSE,NA,"933095451309387777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChristoAveryD",29,TRUE,FALSE,NA,NA
"#Education_News (Uber says cyber breach compromised data of 57 million users, drivers) has been published on LFN -… https://t.co/C9d5Nk77vA",FALSE,0,NA,2017-11-21 23:03:19,TRUE,NA,"933108592517042176",NA,"<a href=""http://learnfromnazrul.in/"" rel=""nofollow"">Kay G. Gilbert</a>","KayGGilbert",0,FALSE,FALSE,NA,NA
